jid,formula,band_gap,formation_energy_per_atom,energy_above_hull,structure_dict,symmetry,density
JVASP-16918,YSbO3,0.0,-1.66569,0.9882,"{'lattice_mat': [[4.230815698442173, 0.0, 0.0], [-0.0, 4.230815698442173, -0.0], [0.0, -0.0, 4.230815698442173]], 'coords': [[0.0, 0.0, 0.0], [2.11541, 2.11541, 2.11541], [0.0, 2.11541, 2.11541], [2.11541, 0.0, 2.11541], [2.11541, 2.11541, 0.0]], 'elements': ['Y', 'Sb', 'O', 'O', 'O'], 'abc': [4.23082, 4.23082, 4.23082], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,5.672
JVASP-42497,Ti3N2O3,1.665,-2.49927,0.0517,"{'lattice_mat': [[3.803153643058133, -4.494211e-10, -3.284177e-10], [-1.9015763238614192, 4.9327778730152865, -0.0259846669246498], [-8.556737e-10, -0.0518776078237762, 9.957087463468126]], 'coords': [[-1.9022706805180321e-06, 1.8637952719347959, 2.4662533003715135], [-3.340282286719375e-06, 1.3703172515703452, 9.406143090005232], [-1.3484931028281935e-06, 1.3016050400879915, 5.512570647842587], [1.9015758124284714, 2.9117417458860126, 7.425845350360763], [1.9015714375698827, 3.511959409818708, 0.47610198222472716], [1.9015694522525497, 3.574199723970545, 4.386408758196465], [-4.958449868000268e-06, 3.0117729357093252, 0.7528851271341465], [-2.356481382927301e-06, 0.42897451477379384, 3.8008510059311496], [1.9015711509658624, 1.8914159967614532, 5.7210552977826215], [1.9015749728937914, 1.8549452418176917, 9.165272541961718], [-5.051903673553461e-06, 3.0859741231980293, 4.2063005465326695], [-5.87620667094137e-07, 2.4166889888261953, 7.480152795790801], [-4.5565677069092586e-07, 0.443455295292061, 1.1636615020016357], [1.9015705711442141, 2.4799237247492196, 2.554933162992704], [1.9015704558763578, 4.4372274314751055, 8.76754980790119], [1.9015666401473317, 4.463208288788712, 6.162885099900113]], 'elements': ['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'N', 'N', 'N', 'N', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [3.80315, 5.286681, 9.957225], 'angles': [90.5601, 90.0, 111.0813], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,3.905
JVASP-107195,MgCo3,0.0,0.12633,0.1751,"{'lattice_mat': [[5.19608511063544, 9.868591e-10, 3e-16], [-2.598042790864857, 4.4999415700431555, 3e-16], [0.0, -0.0, 4.165424448075576]], 'coords': [[2.5980466666666477, 1.4999800000000105, 1.041355], [3.333333351572989e-06, 2.999959999999989, 3.124065], [1.5861486873912143e-06, 1.427515443685204, 1.041355], [1.3617829364116079, 3.7861822781580314, 1.041355], [-1.3617745225602949, 3.7861822781567627, 1.041355], [3.959824522560295, 0.7137577218432367, 3.124065], [1.2362670635883914, 0.7137577218419677, 3.124065], [2.5980484138513127, 3.072424556314795, 3.124065]], 'elements': ['Mg', 'Mg', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co'], 'abc': [5.19609, 5.196082, 4.16542], 'angles': [90.0, 90.0, 120.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '']}",,6.857
JVASP-43902,Na2BiO3,0.0,-1.5178,0.0326,"{'lattice_mat': [[2.977749183131829, 5.142733306152365, 0.0033247321251119], [-2.977749183131829, 5.142733306152365, -0.0033247321251119], [-2.0112880297991476, 0.0, 5.541928332274898]], 'coords': [[-1.005645, 1.630439433378878, 2.770965], [-1.0056449999999997, 8.655020566621126, 2.770965], [-1.005645, 5.14273, 2.770965], [0.0, 0.0, 0.0], [-1.237047159951829e-17, 6.861517896905223, 1.9741945432311694e-19], [1.237047159951829e-17, 3.423942103094778, 1.9420980173983944e-20], [-2.863653101107535, 5.14273, 4.269245566816648], [-1.9138080370846184, 3.303434669451368, 1.2505941140233694], [-1.9138080370846182, 6.982025330548632, 1.2505941140233694], [-0.09748196291538155, 6.982025330548632, 4.291335885976631], [-0.09748196291538133, 3.303434669451368, 4.291335885976631], [0.8523631011075349, 5.14273, 1.272684433183352]], 'elements': ['Na', 'Na', 'Na', 'Na', 'Bi', 'Bi', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.942615, 5.942615, 5.895615], 'angles': [80.1878, 99.8122, 60.1435], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '']}",,5.925
JVASP-42502,Na2NiO3,0.699,-1.36554,0.0153,"{'lattice_mat': [[2.5971461386946744, 4.502594200769595, -0.0051893949443416], [-2.5971461386946744, 4.502594200769595, 0.0051893949443416], [-1.7701754195225108, 0.0, 5.278721060208233]], 'coords': [[-0.88509, 1.4137130023492746, 2.63936], [-0.8850899999999999, 7.591466997650725, 2.63936], [-0.88509, 4.50259, 2.63936], [0.0, 0.0, 0.0], [5.2121350198803795e-17, 6.007032432934037, 5.733607541881094e-20], [4.732410167443305e-17, 2.998147567065961, -5.428296210109179e-20], [-2.4258166640849446, 4.50259, 4.229895631035649], [-1.6230732349669788, 2.8119990347258317, 1.0525506696865528], [-1.6230732349669792, 6.193180965274169, 1.0525506696865528], [-0.14710676503302147, 6.193180965274169, 4.226169330313448], [-0.14710676503302192, 2.8119990347258312, 4.226169330313448], [0.6556366640849446, 4.50259, 1.0488243689643502]], 'elements': ['Na', 'Na', 'Na', 'Na', 'Ni', 'Ni', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.197935, 5.197935, 5.567623], 'angles': [80.8043, 99.1957, 59.9539], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '']}",,4.11
JVASP-104606,PuGaO3,0.0,-2.56087,0.2378,"{'lattice_mat': [[3.8618824107577616, 0.0, 2e-16], [6e-16, 3.8618824107577616, 2e-16], [0.0, 0.0, 3.8618824107577616]], 'coords': [[0.0, 0.0, 0.0], [1.93094, 1.93094, 1.93094], [1.93094, 1.93094, 0.0], [1.93094, 0.0, 1.93094], [0.0, 1.93094, 1.93094]], 'elements': ['Pu', 'Ga', 'O', 'O', 'O'], 'abc': [3.86188, 3.86188, 3.86188], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,10.429
JVASP-16920,AlNiO3,0.0,-0.85623,1.2262,"{'lattice_mat': [[3.6565768197743607, 0.0, 0.0], [0.0, 3.6565768197743607, -0.0], [0.0, -0.0, 3.656897469282369]], 'coords': [[0.0, 0.0, 0.0], [1.82829, 1.82829, 1.82845], [0.0, 1.82829, 1.82845], [1.82829, 0.0, 1.82845], [1.82829, 1.82829, 0.0]], 'elements': ['Al', 'Ni', 'O', 'O', 'O'], 'abc': [3.65658, 3.65658, 3.6569], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,4.54
JVASP-11986,NbCo3,0.0,-0.19398,0.0,"{'lattice_mat': [[5.182620499945805, 1.01028446954e-05, 0.0], [-2.59130122453279, 4.488265720831504, 0.0], [0.0, 0.0, 4.145062884907143]], 'coords': [[2.5913073075718707, 1.496108559617355, 1.036265], [2.793262840517044e-05, 2.9922100974688166, 3.1087908549400103], [1.2242105665496932, 0.7068057894072488, 3.1087908549400103], [2.59133268978196, 3.0746524577619714, 3.1087908549400103], [-1.3670958692432709, 3.7814763516592964, 1.036265], [1.3670844101371407, 3.781481534356264, 1.036265], [-4.570285550975123e-06, 1.4135681519007774, 1.036265], [3.9584278981198002, 0.7068260343982475, 3.1087908549400103]], 'elements': ['Nb', 'Nb', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co'], 'abc': [5.18262, 5.182606, 4.14506], 'angles': [90.0, 90.0, 119.9999], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '']}",,9.29
JVASP-14208,DyCoO3,0.291,-2.54305,0.0089,"{'lattice_mat': [[5.132539561227599, 0.0, 0.0], [-0.0, 5.503390180968691, 0.0], [0.0, 0.0, 7.378034203831834]], 'coords': [[0.11039905340423822, 5.087359634942177, 5.5335225], [2.676669053404238, 3.167725365057822, 1.8445075], [2.4558709465957618, 2.335664634942177, 5.5335225], [5.022140946595761, 0.41603036505782304, 1.8445075], [2.56627, 0.0, 3.689015], [0.0, 2.751695, 3.689015], [0.0, 2.751695, 0.0], [2.56627, 0.0, 0.0], [3.086611240619753, 0.15282948114539163, 5.5335225], [0.5203412406197521, 2.5988655188546086, 1.8445075], [3.5426555518616456, 1.662323102179415, 0.36887537032020157], [0.9763855518616453, 1.0893718978205844, 7.009154629679798], [4.156154448138354, 4.414018102179416, 3.320139629679798], [0.9763855518616453, 1.0893718978205844, 4.0578903703202025], [1.5898844481383552, 3.841066897820584, 7.009154629679798], [4.156154448138354, 4.414018102179416, 0.36887537032020157], [4.612198759380246, 2.9045244811453914, 5.5335225], [3.5426555518616456, 1.662323102179415, 3.320139629679798], [1.5898844481383552, 3.841066897820584, 4.0578903703202025], [2.0459287593802484, 5.350560518854608, 1.8445075]], 'elements': ['Dy', 'Dy', 'Dy', 'Dy', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.13254, 5.50339, 7.37803], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,8.587
JVASP-107474,RbRhO3,0.0,-0.96506,0.1096,"{'lattice_mat': [[3.9965402106296133, -0.0, 2e-16], [6e-16, 3.9965402106296133, 2e-16], [-0.0, -0.0, 3.9965402106296133]], 'coords': [[0.0, 0.0, 0.0], [1.99827, 1.99827, 1.99827], [1.99827, 1.99827, 0.0], [1.99827, 0.0, 1.99827], [0.0, 1.99827, 1.99827]], 'elements': ['Rb', 'Rh', 'O', 'O', 'O'], 'abc': [3.99654, 3.99654, 3.99654], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,6.149
JVASP-55509,PbCO3,3.419,-1.47777,0.008,"{'lattice_mat': [[5.229113199183698, -0.0, 0.0], [0.0, 6.079995908836925, 0.0], [0.0, 0.0, 8.558502141076056]], 'coords': [[1.3072775, 4.5929517530246065, 0.7127590832678369], [3.9218325000000003, 1.4870482469753934, 7.845740916732164], [1.3072775, 1.552951753024606, 3.566490916732163], [3.9218325000000003, 4.527048246975394, 4.9920090832678365], [1.3072775, 5.536468240257309, 6.321425277200845], [3.9218325000000003, 0.5435317597426909, 2.2370747227991568], [1.3072775, 2.4964682402573093, 6.516324722799156], [3.9218325000000003, 3.583531759742691, 2.0421752772008444], [0.18326055494506752, 2.4855778641025363, 5.863282010383559], [2.797815554945068, 3.594422135897463, 2.695217989616442], [1.3072775, 5.4759617157947815, 5.024744086484753], [3.9218325000000003, 0.6040382842052182, 3.5337559135152463], [1.3072775, 2.4359617157947815, 7.813005913515248], [5.045849445054933, 3.594422135897463, 2.695217989616442], [2.797815554945068, 0.5544221358974634, 1.5840320103835581], [0.18326055494506752, 5.525577864102537, 6.974467989616442], [5.045849445054933, 0.5544221358974634, 1.5840320103835581], [2.4312944450549323, 2.4855778641025363, 5.863282010383559], [3.9218325000000003, 3.644038284205219, 0.7454940864847529], [2.4312944450549323, 5.525577864102537, 6.974467989616442]], 'elements': ['Pb', 'Pb', 'Pb', 'Pb', 'C', 'C', 'C', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.22911, 6.08, 8.5585], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,6.523
JVASP-107029,ThMn2Co3,0.0,-0.12518,0.0548,"{'lattice_mat': [[5.087920730212632, -2.1831385e-09, 3e-16], [-2.5439599840155642, 4.4062688248284365, 3e-16], [-0.0, -0.0, 3.86583806458244]], 'coords': [[0.0, 0.0, 0.0], [2.5439599999999825, 1.4687566666666771, 0.0], [1.808973119447425e-14, 2.9375133333333228, 0.0], [1.27198, 2.203135, 1.93292], [2.54396, 0.0, 1.93292], [-1.27198, 2.203135, 1.93292]], 'elements': ['Th', 'Mn', 'Mn', 'Co', 'Co', 'Co'], 'abc': [5.08792, 5.087922, 3.86584], 'angles': [90.0, 90.0, 120.0], 'cartesian': True, 'props': ['', '', '', '', '', '']}",,9.939
JVASP-16922,YTiO3,0.0,-3.22673,0.2807,"{'lattice_mat': [[3.881676610401986, 0.0, 0.0], [0.0, 3.881676610401986, -0.0], [0.0, 0.0, 3.881824659767733]], 'coords': [[0.0, 0.0, 0.0], [1.94084, 1.94084, 1.94091], [0.0, 1.94084, 1.94091], [1.94084, 0.0, 1.94091], [1.94084, 1.94084, 0.0]], 'elements': ['Y', 'Ti', 'O', 'O', 'O'], 'abc': [3.88168, 3.88168, 3.88182], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,5.246
JVASP-105257,SrDyO3,0.0,-2.87053,0.2881,"{'lattice_mat': [[4.3504063850301105, -0.0, 3e-16], [7e-16, 4.3504063850301105, 3e-16], [-0.0, -0.0, 4.3504063850301105]], 'coords': [[0.0, 0.0, 0.0], [2.175205, 2.175205, 2.175205], [2.175205, 2.175205, 0.0], [2.175205, 0.0, 2.175205], [0.0, 2.175205, 2.175205]], 'elements': ['Sr', 'Dy', 'O', 'O', 'O'], 'abc': [4.35041, 4.35041, 4.35041], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,6.012
JVASP-107309,Na2PtO3,0.0,-1.226,0.1307,"{'lattice_mat': [[4.057778194789749, -0.0144033793004523, -3.8273934491289054], [-0.4053414505185793, 2.9997798323211162, -4.685267464721388], [0.0223091798080415, 0.014403379302728, 5.577993079327321]], 'coords': [[2.456072778944837, 2.007510199430062, -5.724313747087578], [1.196367221055164, 0.9778698005699382, -2.7883462529124237], [0.0, 0.0, 0.0], [2.040045, 0.0, 0.8753], [0.3028430572386103, 1.9111614308569067, -0.7058292377514291], [3.3719069427613904, 1.0886185691430925, -2.2288407622485704]], 'elements': ['Na', 'Na', 'Pt', 'O', 'O', 'O'], 'abc': [5.578055, 5.578058, 5.578053], 'angles': [147.0178, 133.0974, 58.5281], 'cartesian': True, 'props': ['', '', '', '', '', '']}",,7.016
JVASP-54719,H4N2O3,0.544,0.21807,0.9244,"{'lattice_mat': [[4.503065413038157, -0.1475611643818479, -0.1475611643818479], [-0.0827443526519312, 4.21522481643385, 0.1384641475200323], [-0.0827443526519312, 0.1384641475200323, 4.21522481643385]], 'coords': [[-0.08274000000000002, 1.111432638531812, 3.2422473614681895], [-0.08273999999999997, 3.010924531314957, 1.3427554686850418], [1.6731749171263293, 1.379850206918283, 0.33600696920463075], [2.6644150828736652, 3.8701130307953697, 2.826269793081718], [-0.08273999999999998, 0.3601758217251802, 3.993504178274819], [2.168795, 2.4696202117590036, 1.736499788240997], [-0.08274, 2.3125693670059975, 2.041110632994003], [2.035306886376843, 2.305516667700225, 0.42044226831087744], [2.3022831136231576, 3.7856777316891264, 1.900603332299776]], 'elements': ['H', 'H', 'H', 'H', 'N', 'N', 'O', 'O', 'O'], 'abc': [4.507903, 4.218305, 4.218305], 'angles': [86.2166, 93.0598, 93.0598], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '']}",,1.665
JVASP-107088,LaMnO3,0.0,-2.85477,0.0343,"{'lattice_mat': [[5.48951789820793, -2.97688557959e-05, 0.0009826725109277], [-2.7454275630716047, 3.8794301029381884, 2.7442485392142926], [-0.0013799573925489, 2.68005170671e-05, 5.489516932038918]], 'coords': [[1.0601697777442237e-05, 1.439851206448461e-06, 1.0317088964959117e-05], [2.7440478081706376, 1.7877662316790297e-06, 2.7452303372121563], [-0.0006796427856215, 1.9397139221695079, 2.7447491996352493], [2.7433898331100814, 1.9397139689936924, 5.489999098122492], [1.372038121911793, 1.9396881652386486, 1.3726307688639128], [-1.3733890825669794, 1.9397417927925018, 4.116874940898815], [1.3713668472448004, 1.9397117625609654, 4.117384205028311], [-1.3727211431458297, 1.9397156048167266, 1.3721120490372885], [2.744737667739889, 3.8403538090944054e-05, 0.000513357737239207], [-0.0006682645664939647, -4.072718759090044e-05, 2.7447374926055312]], 'elements': ['La', 'La', 'Mn', 'Mn', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.48952, 5.488012, 5.48952], 'angles': [59.9885, 90.0042, 120.0115], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,6.87
JVASP-55518,NaSbO3,1.613,-1.69317,0.0605,"{'lattice_mat': [[6.345940393448043, -2.833754e-10, 3.663830269107703], [2.115313796916854, 5.983009808577938, 3.6638302691077027], [1.0948785e-09, 7.741959e-10, 7.327661534423044]], 'coords': [[1.057655, 2.991505, 1.831915], [3.17297, 0.0, 1.831915], [0.0, 0.0, 3.66383], [0.0, 0.0, 0.0], [3.17297, 0.0, 5.495744999999999], [4.230625, 2.991505, 3.66383], [4.230625, 2.991505, 7.32766], [1.057655, 2.991505, 5.495744999999999], [4.032178152015028, 1.028524038798578, 4.007551901863478], [1.4545519768953639, 1.0285240387986065, 5.495744999999974], [4.429071847984972, 4.954485961201422, 10.647768098136522], [4.0321781520150575, 1.0285240387985988, 6.983938098136522], [2.3137593479849428, 3.458733461201401, 4.007551901863477], [4.429071847984943, 4.954485961201401, 7.671381901863478], [3.5698644768953636, 2.5242765387986057, 9.159574999999974], [7.006698023104636, 4.954485961201393, 9.159575000000025], [6.147490652015057, 2.524276538798599, 10.647768098136522], [2.3137593479849725, 3.458733461201422, 6.983938098136522], [6.147490652015028, 2.5242765387985773, 7.6713819018634775], [4.891385523104636, 3.458733461201393, 5.495745000000025]], 'elements': ['Na', 'Na', 'Na', 'Na', 'Sb', 'Sb', 'Sb', 'Sb', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [7.32766, 7.32766, 7.32766], 'angles': [60.0, 60.0, 60.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,4.602
JVASP-51023,SrH4O3,4.546,-1.53686,0.0651,"{'lattice_mat': [[3.922628598953398, -0.011760882796135, -0.0085781538157242], [-0.3881822419006581, 5.675855827010097, -0.0056875596224829], [-0.299647832647063, -0.0943742913138431, 7.419213886965684]], 'coords': [[3.660343349782278, 2.024424153115981, 2.161988592309184], [3.3921961456507366, 3.5126360288531795, 5.687490441969551], [0.8467787940962729, 5.448349067852041, 1.1395156809614644], [2.6917353594343036, 4.823163967858579, 1.006601967023596], [2.84635434362969, 0.49803127397644487, 4.8799069218500675], [0.5536626225819894, 0.5307120253248409, 4.89333592929635], [1.5752949495723216, 2.155916419096385, 4.129478269409469], [1.4113443117793412, 4.621594219164138, 4.268655520468355], [1.6660705465591845, 1.5540939768123752, 0.07093936361499636], [2.115139484316396, 3.1254009133107488, 0.1377998348913003], [3.2482714718322896, 4.056532910612317, 0.7350754277683251], [-0.25954442579433207, 1.1146904962446915, 4.674496565994973], [1.7229991158282534, 0.6069987610586087, 1.3362134504677738], [1.3464004295509453, 5.137327250984727, 5.115213283987237], [1.7170773065976954, 2.9410426477480427, 3.56387459541965], [1.348775136642656, 2.3412157992668785, 6.943387754307675]], 'elements': ['Sr', 'Sr', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [3.922657, 5.689121, 7.425858], 'angles': [90.6259, 92.4358, 94.0841], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,2.809
JVASP-14118,SmCoO3,0.218,-2.47253,0.0,"{'lattice_mat': [[5.271142884180839, 0.0, 0.0], [0.0, 5.463584655184921, 0.0], [0.0, 0.0, 7.515499879606911]], 'coords': [[0.07572917859564779, 5.132352874506287, 5.636625], [2.7112991785956484, 3.063017125493714, 1.878875], [2.5598408214043533, 2.400562874506285, 5.636625], [5.1954108214043515, 0.3312271254937144, 1.878875], [2.63557, 0.0, 3.75775], [0.0, 2.73179, 3.75775], [0.0, 2.73179, 0.0], [2.63557, 0.0, 0.0], [3.0848317417638915, 0.09450186678697646, 5.636625], [0.449261741763892, 2.6372881332130236, 1.878875], [3.696892455926774, 1.613345252481764, 0.3304798513604373], [1.061322455926776, 1.1184447475182362, 7.1850201486395635], [4.209817544073226, 4.345135252481765, 3.427270148639562], [1.061322455926776, 1.1184447475182362, 4.088229851360437], [1.574247544073223, 3.8502347475182352, 7.1850201486395635], [4.209817544073226, 4.345135252481765, 0.3304798513604373], [4.821878258236108, 2.8262918667869776, 5.636625], [3.696892455926774, 1.613345252481764, 3.427270148639562], [1.574247544073223, 3.8502347475182352, 4.088229851360437], [2.1863082582361075, 5.369078133213023, 1.878875]], 'elements': ['Sm', 'Sm', 'Sm', 'Sm', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.27114, 5.46358, 7.5155], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,7.896
JVASP-15124,BaNbO3,0.0,-3.02671,0.0136,"{'lattice_mat': [[4.149526105505563, 0.0, -0.0], [0.0, 4.149526105505563, 0.0], [-0.0, 0.0, 4.149526105505563]], 'coords': [[0.0, 0.0, 0.0], [2.074765, 2.074765, 2.074765], [2.074765, 0.0, 2.074765], [2.074765, 2.074765, 0.0], [0.0, 2.074765, 2.074765]], 'elements': ['Ba', 'Nb', 'O', 'O', 'O'], 'abc': [4.14953, 4.14953, 4.14953], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,6.466
JVASP-54767,H4N2O3,2.605,-0.09588,0.6105,"{'lattice_mat': [[4.895276533207608, 0.0, 0.0], [0.0, 5.447510858354494, 0.0], [0.0, 0.0, 5.561101308427775]], 'coords': [[1.6077683085385448, 0.8844010382468159, 0.0], [3.287511691461454, 0.8844010382468159, 0.0], [4.055408308538546, 4.563108961753187, 2.78055], [0.8398716914614561, 4.563108961753187, 2.78055], [3.1434395352805318, 4.822742435817374, 0.0], [1.7518404647194687, 4.822742435817374, 0.0], [4.199480464719468, 0.6247675641826287, 2.78055], [0.6957995352805314, 0.6247675641826287, 2.78055], [2.44764, 2.6034305507899473, 2.78055], [0.0, 2.844079449210052, 0.0], [2.44764, 0.23985723412976012, 0.0], [0.0, 5.207652765870239, 2.78055], [3.5596773732010427, 2.0131232355332354, 2.78055], [0.0, 1.5711812339931546, 0.0], [2.44764, 3.876328766006845, 2.78055], [3.7832426267989567, 3.434386764466765, 0.0], [1.1120373732010436, 3.434386764466765, 0.0], [1.3356026267989547, 2.0131232355332354, 2.78055]], 'elements': ['H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'N', 'N', 'N', 'N', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [4.89528, 5.44751, 5.5611], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,1.793
JVASP-43906,Na3VO3,0.0,-1.89329,0.0,"{'lattice_mat': [[5.752192733674739, 0.103556459155507, -0.1062556300880995], [0.3215705663817113, 5.8770805210791295, -0.0562615116197161], [0.0514555964488563, 2.6932819794473972, 5.7713780619458666]], 'coords': [[0.6237788701321485, 5.7292618497777985, 2.526249442301358], [1.1598040346247636, 7.139507570148092, 5.592260898529996], [2.5736536246017416, 3.693914922523462, 4.26669056422805], [3.5515663753982585, 4.980005077476538, 1.3421694357719496], [4.9654159653752385, 1.5344124298519066, 0.016599101470002903], [5.501441129867851, 2.944658150222202, 3.08261055769864], [2.2449463248551766, 2.011430543924841, 1.6571176914818162], [3.8802736751448226, 6.662489456075157, 3.951742308518182], [1.399712252191632, 0.8488539509486043, 0.5916537784602404], [1.599388980876419, 3.708697160973523, 1.9768476120703367], [2.1277909832830137, 7.269170095125818, 3.4733180591129225], [3.997429016716982, 1.4047499048741838, 2.1355419408870806], [4.525831019123582, 4.96522283902648, 3.632012387929665], [4.725507747808367, 7.8250660490513955, 5.017206221539763]], 'elements': ['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [5.754103, 5.88614, 6.369084], 'angles': [65.5438, 90.0599, 85.8275], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,2.849
JVASP-55519,Pb2O3,1.095,-1.10967,0.0019,"{'lattice_mat': [[0.0, 7.645732346795841, -0.0143153522173946], [5.739975673561668, 0.0, 0.0], [0.0, -3.0692080301744853, -7.256972057423719]], 'coords': [[4.329256389816779, 0.3394079964658346, -0.8502824118523766], [1.4592663898167806, 5.771717003534169, -2.7925225881476234], [1.41072361018322, 4.237112003534167, -6.421007588147625], [4.280713610183221, -1.1951970035341644, -4.478767411852375], [4.255414450081389, 4.252306030555241, -1.0286591215355492], [1.3854244500813897, 1.858818969444763, -2.6141458784644516], [1.4845655499186097, 0.3242139694447641, -6.242630878464449], [4.354555549918611, 2.7177010305552396, -4.657144121535551], [5.3795265100883, -0.5516396216314808, -2.6252235121485414], [2.509536510088301, 6.662764621631482, -1.0175814878514575], [3.4088760159660807, 4.802793702858966, -3.281112659574882], [0.5388860159660808, 1.3083312971410326, -0.36169234042511633], [2.3311039840339207, -0.2262737028589679, -3.990177340425117], [0.7357388049299847, 4.092974727959758, -1.6763214271406919], [5.004241195070019, 0.48354527204024245, -5.594968572859309], [2.134251195070016, 2.558369727959759, -5.30480642714069], [3.2304434899117007, -2.086244621631481, -6.253708512148542], [3.6057288049299814, 2.018150272040243, -1.9664835728593082], [5.201093984033919, 3.2681887028589665, -6.9095976595748825], [0.36045348991170006, 5.128159621631482, -4.646066487851458]], 'elements': ['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [7.645743, 5.73998, 7.879319], 'angles': [90.0, 112.8178, 90.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,9.636
JVASP-107089,CeCrO3,0.0,-2.84302,0.1139,"{'lattice_mat': [[3.858025168057112, -0.0, 2e-16], [6e-16, 3.858025168057112, 2e-16], [-0.0, -0.0, 3.858025168057112]], 'coords': [[0.0, 0.0, 0.0], [1.9290112577108918, 1.9290112577108918, 1.9290112577108918], [0.0, 1.9290112577108918, 1.9290112577108918], [1.9290112577108918, 0.0, 1.9290112577108918], [1.9290112577108918, 1.9290112577108918, 0.0]], 'elements': ['Ce', 'Cr', 'O', 'O', 'O'], 'abc': [3.85803, 3.85803, 3.85803], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,6.943
