jid,formula,band_gap,formation_energy_per_atom,energy_above_hull,structure_dict,symmetry,density
JVASP-38346,RbAlO3,0.0,-1.81118,0.4368,"{'lattice_mat': [[3.927021884700831, 0.0, -0.0], [-0.0, 3.927021884700831, 0.0], [-0.0, 0.0, 3.927021884700831]], 'coords': [[0.0, 0.0, 0.0], [1.96351, 1.96351, 1.96351], [1.96351, 1.96351, 0.0], [0.0, 1.96351, 1.96351], [1.96351, 0.0, 1.96351]], 'elements': ['Rb', 'Al', 'O', 'O', 'O'], 'abc': [3.92702, 3.92702, 3.92702], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,4.399
JVASP-38540,LiYO3,0.0,-2.12237,0.4593,"{'lattice_mat': [[3.6544475974581254, 0.0, -0.0], [-0.0, 3.6544475974581254, -0.0], [0.0, 0.0, 3.6544475974581254]], 'coords': [[1.827225, 1.827225, 1.827225], [0.0, 0.0, 0.0], [1.827225, 1.827225, 0.0], [1.827225, 0.0, 1.827225], [0.0, 1.827225, 1.827225]], 'elements': ['Li', 'Y', 'O', 'O', 'O'], 'abc': [3.65445, 3.65445, 3.65445], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,4.894
JVASP-38306,RbLiO3,0.0,-0.50274,0.7489,"{'lattice_mat': [[4.106219888063832, 0.0, 0.0], [0.0, 4.106219888063832, -0.0], [0.0, -0.0, 4.106219888063832]], 'coords': [[0.0, 0.0, 0.0], [2.05311, 2.05311, 2.05311], [2.05311, 2.05311, 0.0], [2.05311, 0.0, 2.05311], [0.0, 2.05311, 2.05311]], 'elements': ['Rb', 'Li', 'O', 'O', 'O'], 'abc': [4.10622, 4.10622, 4.10622], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.368
JVASP-38278,RbZnO3,0.0,-0.67651,0.5618,"{'lattice_mat': [[4.125935910198811, -0.0, -0.0], [0.0, 4.125935910198811, 0.0], [0.0, 0.0, 4.125935910198811]], 'coords': [[0.0, 0.0, 0.0], [2.06297, 2.06297, 2.06297], [0.0, 2.06297, 2.06297], [2.06297, 0.0, 2.06297], [2.06297, 2.06297, 0.0]], 'elements': ['Rb', 'Zn', 'O', 'O', 'O'], 'abc': [4.12594, 4.12594, 4.12594], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,4.702
JVASP-38694,NaSrO3,0.0,-1.13947,0.6589,"{'lattice_mat': [[4.16800274120542, 0.0, 0.0], [0.0, 4.16800274120542, -0.0], [0.0, -0.0, 4.16800274120542]], 'coords': [[2.084, 2.084, 2.084], [0.0, 0.0, 0.0], [2.084, 2.084, 0.0], [2.084, 0.0, 2.084], [0.0, 2.084, 2.084]], 'elements': ['Na', 'Sr', 'O', 'O', 'O'], 'abc': [4.168, 4.168, 4.168], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.637
JVASP-38325,RbNiO3,0.0,-0.67483,0.3301,"{'lattice_mat': [[3.934982303427903, 0.0, 0.0], [0.0, 3.934982303427903, -0.0], [0.0, 0.0, 3.934904359989945]], 'coords': [[0.0, 0.0, 0.0], [1.96749, 1.96749, 1.96745], [0.0, 1.96749, 1.96745], [1.96749, 1.96749, 0.0], [1.96749, 0.0, 1.96745]], 'elements': ['Rb', 'Ni', 'O', 'O', 'O'], 'abc': [3.93498, 3.93498, 3.9349], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,5.237
JVASP-98551,TmFeO3,0.0,-2.65468,0.0323,"{'lattice_mat': [[6.055850481709658, -0.0, 0.0], [-3.027925240854829, 5.2445210007303835, -0.0], [-0.0, -0.0, 11.343713357600736]], 'coords': [[3.027926361259971, 1.7481715851600168, 8.290543168656319], [3.027926361259971, 1.7481715851600168, 2.6186881686563184], [0.0, 0.0, 3.1590472966262624], [-6.36125997050956e-06, 3.496348414839983, 2.6186881686563184], [0.0, 0.0, 8.830902296626263], [-6.36125997050956e-06, 3.496348414839983, 8.290543168656319], [1.0104901614364938, 1.7502232098132895, 5.684671912417398], [2.0174298385635074, 3.49429679018671, 0.012816912417398487], [4.034866339885073, 0.0, 5.684671912417398], [-1.0104934986784333, 1.7502232098132895, 0.012816912417398487], [2.0209836601149265, 0.0, 0.012816912417398487], [-2.0174365013215665, 3.49429679018671, 5.684671912417398], [3.8645251381859826, 0.0, 3.8252880186082296], [2.1074014320867556, 3.6501324204743444, 1.8808401379664046], [4.214809824071498, 0.0, 7.5526951379664], [-0.9205216080152556, 1.594387579525654, 1.8808401379664046], [-1.9322657598301614, 3.346776980560158, 3.8252880186082296], [1.0956606216441782, 1.897743019439842, 3.8252880186082296], [1.9322593783558206, 3.346776980560158, 9.497143018608226], [1.8410401759285013, 0.0, 1.8808401379664046], [3.027926361259971, 1.7481715851600168, 0.24637136130364753], [2.191324861814018, 0.0, 9.497143018608226], [0.0, 0.0, 5.420304375204656], [3.027926361259971, 1.7481715851600168, 5.918226361303647], [-2.1074083919847437, 3.6501324204743444, 7.5526951379664], [0.0, 0.0, 11.09215937520466], [0.9205185679132458, 1.594387579525654, 7.5526951379664], [-1.0956642401698389, 1.897743019439842, 9.497143018608226], [-6.36125997050956e-06, 3.496348414839983, 5.918226361303647], [-6.36125997050956e-06, 3.496348414839983, 0.24637136130364753]], 'elements': ['Tm', 'Tm', 'Tm', 'Tm', 'Tm', 'Tm', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [6.05585, 6.055853, 11.34371], 'angles': [90.0, 90.0, 120.0], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']}",,7.543
JVASP-39448,RuPbO3,0.0,-1.1063,0.1373,"{'lattice_mat': [[3.9765833748131385, 0.0, -0.0], [-0.0, 3.9765833748131385, -0.0], [0.0, -0.0, 3.9765833748131385]], 'coords': [[1.98829, 1.98829, 1.98829], [0.0, 0.0, 0.0], [1.98829, 1.98829, 0.0], [1.98829, 0.0, 1.98829], [0.0, 1.98829, 1.98829]], 'elements': ['Ru', 'Pb', 'O', 'O', 'O'], 'abc': [3.97658, 3.97658, 3.97658], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,9.408
JVASP-97854,AgNO3,0.861,-0.10368,0.1824,"{'lattice_mat': [[4.508826515015528, -0.673828000559983, 5.488816864772743], [1.340690164464055, 3.5895561449436735, 5.025757222742304], [0.3118088472251318, -0.1161198797802985, 7.4979695718602315]], 'coords': [[2.506430514475074, 1.6568071203171895, 8.564642817892242], [-2.365138940188079, 1.7754819143753469, -0.47529453648884834], [5.013795622767272, 2.708947032265414, 12.492805823538653], [0.16517693171651457, -0.1858260383254801, 4.91779927370921], [4.511308860450775, 0.05416938647614405, 7.450243395026524], [2.8032801762385264, -1.0664424684897964, 4.827126191404775], [2.295741066646644, -3.953686537965405, 5.0668951456287985], [3.4542584296214316, 3.099312839404841, 5.125235116263178], [0.845832960097453, 2.149602210648242, 6.9469755544427665], [0.9402765772627307, 2.9269977525551987, 4.053057463471004]], 'elements': ['Ag', 'Ag', 'N', 'N', 'O', 'O', 'O', 'O', 'O', 'O'], 'abc': [7.135176, 6.319862, 7.505349], 'angles': [37.3942, 37.2294, 46.1989], 'cartesian': True, 'props': ['', '', '', '', '', '', '', '', '', '']}",,4.598
JVASP-37300,SrCaO3,0.0,-2.02424,0.5792,"{'lattice_mat': [[4.346773250344133, -0.0, -0.0], [0.0, 4.346773250344133, -0.0], [0.0, 0.0, 4.346773250344133]], 'coords': [[0.0, 0.0, 0.0], [2.173385, 2.173385, 2.173385], [2.173385, 2.173385, 0.0], [2.173385, 0.0, 2.173385], [0.0, 2.173385, 2.173385]], 'elements': ['Sr', 'Ca', 'O', 'O', 'O'], 'abc': [4.34677, 4.34677, 4.34677], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,3.552
JVASP-38181,KInO3,0.0,-1.04267,0.4063,"{'lattice_mat': [[4.270260787716899, 0.0, -0.0], [-0.0, 4.270260787716899, -0.0], [-0.0, 0.0, 4.270260787716899]], 'coords': [[0.0, 0.0, 0.0], [2.13513, 2.13513, 2.13513], [2.13513, 0.0, 2.13513], [2.13513, 2.13513, 0.0], [0.0, 2.13513, 2.13513]], 'elements': ['K', 'In', 'O', 'O', 'O'], 'abc': [4.27026, 4.27026, 4.27026], 'angles': [90.0, 90.0, 90.0], 'cartesian': True, 'props': ['', '', '', '', '']}",,4.306
